id_powiat,nazwa,id_wojewodztwo
1,Wrocław,1
2,Jelenia Góra,1
3,Legnica,1
4,Wałbrzych,1
5,bolesławiecki,1
6,dzierżoniowski,1
7,głogowski,1
8,górowski,1
9,jaworski,1
10,jeleniogórski,1
11,kamiennogórski,1
12,kłodzki,1
13,legnicki,1
14,lubański,1
15,lubiński,1
16,lwówecki,1
17,milicki,1
18,oleśnicki,1
19,oławski,1
20,polkowicki,1
21,strzeliński,1
22,średzki,1
23,świdnicki,1
24,trzebnicki,1
25,wałbrzyski,1
26,wołowski,1
27,wrocławski,1
28,ząbkowicki,1
29,zgorzelecki,1
30,złotoryjski,1
31,Bydgoszcz,2
32,Toruń,2
33,Włocławek,2
34,Grudziądz,2
35,aleksandrowski,2
36,brodnicki,2
37,bydgoski,2
38,chełmiński,2
39,golubsko-dobrzyński,2
40,grudziądzki,2
41,inowrocławski,2
42,lipnowski,2
43,mogileński,2
44,nakielski,2
45,radziejowski,2
46,rypiński,2
47,sępoleński,2
48,świecki,2
49,toruński,2
50,tucholski,2
51,wąbrzeski,2
52,włocławski,2
53,żniński,2
54,Lublin,3
55,Biała Podlaska,3
56,Chełm,3
57,Zamość,3
58,bialski,3
59,biłgorajski,3
60,chełmski,3
61,hrubieszowski,3
62,janowski,3
63,krasnostawski,3
64,kraśnicki,3
65,lubartowski,3
66,lubelski,3
67,łęczyński,3
68,łukowski,3
69,opolski,3
70,parczewski,3
71,puławski,3
72,radzyński,3
73,rycki,3
74,świdnicki,3
75,tomaszowski,3
76,włodawski,3
77,zamojski,3
78,Gorzów Wielkopolski,4
79,Zielona Góra,4
80,gorzowski,4
81,krośnieński,4
82,międzyrzecki,4
83,nowosolski,4
84,słubicki,4
85,strzelecko-drezdenecki,4
86,sulęciński,4
87,świebodziński,4
88,wschowski,4
89,zielonogórski,4
90,żagański,4
91,żarski,4
92,Łódź,5
93,Piotrków Trybunalski,5
94,Skierniewice,5
95,bełchatowski,5
96,brzeziński,5
97,kutnowski,5
98,łaski,5
99,łęczycki,5
100,łowicki,5
101,łódzki wschodni,5
102,opoczyński,5
103,pabianicki,5
104,pajęczański,5
105,piotrkowski,5
106,poddębicki,5
107,radomszczański,5
108,rawski,5
109,sieradzki,5
110,skierniewicki,5
111,tomaszowski,5
112,wieluński,5
113,wieruszowski,5
114,zduńskowolski,5
115,zgierski,5
116,Kraków,6
117,Nowy Sącz,6
118,Tarnów,6
119,bocheński,6
120,brzeski,6
121,chrzanowski,6
122,dąbrowski,6
123,gorlicki,6
124,krakowski,6
125,limanowski,6
126,miechowski,6
127,myślenicki,6
128,nowosądecki,6
129,nowotarski,6
130,olkuski,6
131,oświęcimski,6
132,proszowicki,6
133,suski,6
134,tarnowski,6
135,tatrzański,6
136,wadowicki,6
137,wielicki,6
138,Warszawa,7
139,Ostrołęka,7
140,Płock,7
141,Radom,7
142,Siedlce,7
143,białobrzeski,7
144,ciechanowski,7
145,garwoliński,7
146,gostyniński,7
147,grodziski,7
148,grójecki,7
149,kozienicki,7
150,legionowski,7
151,lipski,7
152,łosicki,7
153,makowski,7
154,miński,7
155,mławski,7
156,nowodworski,7
157,ostrołęcki,7
158,ostrowski,7
159,otwocki,7
160,piaseczyński,7
161,płocki,7
162,płoński,7
163,pruszkowski,7
164,przasnyski,7
165,przysuski,7
166,pułtuski,7
167,radomski,7
168,siedlecki,7
169,sierpecki,7
170,sochaczewski,7
171,sokołowski,7
172,szydłowiecki,7
173,warszawski zachodni,7
174,węgrowski,7
175,wołomiński,7
176,wyszkowski,7
177,zwoleński,7
178,żuromiński,7
179,żyrardowski,7
180,Opole,8
181,brzeski,8
182,głubczycki,8
183,kędzierzyńsko-kozielski,8
184,kluczborski,8
185,krapkowicki,8
186,namysłowski,8
187,nyski,8
188,oleski,8
189,opolski,8
190,prudnicki,8
191,strzelecki,8
192,Rzeszów,9
193,Krosno,9
194,Przemyśl,9
195,Tarnobrzeg,9
196,bieszczadzki,9
197,brzozowski,9
198,dębicki,9
199,jarosławski,9
200,jasielski,9
201,kolbuszowski,9
202,krośnieński,9
203,leski,9
204,leżajski,9
205,lubaczowski,9
206,łańcucki,9
207,mielecki,9
208,niżański,9
209,przemyski,9
210,przeworski,9
211,ropczycko-sędziszowski,9
212,rzeszowski,9
213,sanocki,9
214,stalowowolski,9
215,strzyżowski,9
216,tarnobrzeski,9
217,Białystok,10
218,Łomża,10
219,Suwałki,10
220,augustowski,10
221,białostocki,10
222,bielski,10
223,grajewski,10
224,hajnowski,10
225,kolneński,10
226,łomżyński,10
227,moniecki,10
228,sejneński,10
229,siemiatycki,10
230,sokólski,10
231,suwalski,10
232,wysokomazowiecki,10
233,zambrowski,10
234,Gdańsk,11
235,Gdynia,11
236,Słupsk,11
237,Sopot,11
238,bytowski,11
239,chojnicki,11
240,człuchowski,11
241,kartuski,11
242,kościerski,11
243,kwidzyński,11
244,lęborski,11
245,malborski,11
246,nowodworski,11
247,gdański,11
248,pucki,11
249,słupski,11
250,starogardzki,11
251,sztumski,11
252,tczewski,11
253,wejherowski,11
254,Katowice,12
255,Bielsko-Biała,12
256,Bytom,12
257,Chorzów,12
258,Częstochowa,12
259,Dąbrowa Górnicza,12
260,Gliwice,12
261,Jastrzębie-Zdrój,12
262,Jaworzno,12
263,Mysłowice,12
264,Piekary Śląskie,12
265,Ruda Śląska,12
266,Rybnik,12
267,Siemianowice Śląskie,12
268,Sosnowiec,12
269,Świętochłowice,12
270,Tychy,12
271,Zabrze,12
272,Żory,12
273,będziński,12
274,bielski,12
275,bieruńsko-lędziński,12
276,cieszyński,12
277,częstochowski,12
278,gliwicki,12
279,kłobucki,12
280,lubliniecki,12
281,mikołowski,12
282,myszkowski,12
283,pszczyński,12
284,raciborski,12
285,rybnicki,12
286,tarnogórski,12
287,wodzisławski,12
288,zawierciański,12
289,żywiecki,12
290,Kielce,13
291,buski,13
292,jędrzejowski,13
293,kazimierski,13
294,kielecki,13
295,konecki,13
296,opatowski,13
297,ostrowiecki,13
298,pińczowski,13
299,sandomierski,13
300,skarżyski,13
301,starachowicki,13
302,staszowski,13
303,włoszczowski,13
304,Olsztyn,14
305,Elbląg,14
306,bartoszycki,14
307,braniewski,14
308,działdowski,14
309,elbląski,14
310,ełcki,14
311,giżycki,14
312,gołdapski,14
313,iławski,14
314,kętrzyński,14
315,lidzbarski,14
316,mrągowski,14
317,nidzicki,14
318,nowomiejski,14
319,olecki,14
320,olsztyński,14
321,ostródzki,14
322,piski,14
323,szczycieński,14
324,węgorzewski,14
325,Poznań,15
326,Kalisz,15
327,Konin,15
328,Leszno,15
329,chodzieski,15
330,czarnkowsko-trzcianecki,15
331,gnieźnieński,15
332,gostyński,15
333,grodziski,15
334,jarociński,15
335,kaliski,15
336,kępiński,15
337,kolski,15
338,koniński,15
339,kościański,15
340,krotoszyński,15
341,leszczyński,15
342,międzychodzki,15
343,nowotomyski,15
344,obornicki,15
345,ostrowski,15
346,ostrzeszowski,15
347,pilski,15
348,pleszewski,15
349,poznański,15
350,rawicki,15
351,słupecki,15
352,szamotulski,15
353,średzki,15
354,śremski,15
355,turecki,15
356,wągrowiecki,15
357,wolsztyński,15
358,wrzesiński,15
359,złotowski,15
360,Szczecin,16
361,Koszalin,16
362,Świnoujście,16
363,białogardzki,16
364,choszczeński,16
365,drawski,16
366,goleniowski,16
367,gryficki,16
368,gryfiński,16
369,kamieński,16
370,kołobrzeski,16
371,koszaliński,16
372,łobeski,16
373,myśliborski,16
374,policki,16
375,pyrzycki,16
376,sławieński,16
377,stargardzki,16
378,szczecinecki,16
379,świdwiński,16
380,wałecki,16
